Name,City,Region,Contact,Status
Augusta Victoria Hospital,Jerusalem,East Jerusalem,+972 2 822 7211,1
Makassed Hospital,Jerusalem,East Jerusalem,+972 2 223 5777,1
Palestine Red Crescent Society Hospital,Jerusalem,East Jerusalem,+972 2 224 1111,1
St John of Jerusalem Eye Hospital,Jerusalem (Grou),East Jerusalem,972 2 582 8325,1
St. Joseph's Hospital,Jerusalem,East Jerusalem,+972 2 824 5111,1
Ahli Hospital,Hebron,West Bank,+972 2 222 7235,1
Al-Hussein Governmental Hospital,Beit Jala,West Bank,+972 2 272 0361,1
Al-Istishari Arab Hospital,Ramallah,West Bank,+972 2 297 5555,1
Al-Meezan Specialized Hospital,Hebron,West Bank,+972 2 222 7788,1
Bethlehem Arab Society for Rehabilitation,Bethlehem,West Bank,02-2744053,1
Bethlehem Hospital for Psychiatric and Rehabilitation,Bethlehem,West Bank,+972 2 274 2121,1
Ibn Sina Specialized Hospital,Jenin,West Bank,+972 2 224 0050,1
Jericho Governmental Hospital,Jericho,West Bank,+972 2 223 2363,1
Martyr Dr. Thabet Thabet Government Hospital,Tulkarm,West Bank,+972 2 278 5333,1
Martyr Yasser Arafat Governmental Hospital,Salfit,West Bank,+972 2 296 4700,1
Palestine Medical Complex,Ramallah,West Bank,+972 2 298 7777,1
Princess Alia Governmental Hospital,Hebron,West Bank,+972 2 223 3333,1
Saint John Eye Hospital Group,Hebron,West Bank,+972 2 222 7211,1
Al-Ittihad Hospital,Nablus,West Bank,+972 2 226 8400,1
Al-Watani Medical Hospital,Nablus,West Bank,+972 2 224 2000,1
An-Najah National University Hospital,Nablus,West Bank,+972 2 227 2900,1
Rafidia Surgical Hospital,Nablus,West Bank,+972 2 224 2080,1
St. Lukes Hospital,Nablus,West Bank,+972 2 227 2111,1
Al-Ahli Arab Hospital,Gaza City,Gaza Strip,+972 8 282 0000,1
Al-Helal Emirati Hospital,Rafah,Gaza Strip,+972 8 218 8888,1
European Hospital,Khan Younis,Gaza Strip,+972 8 282 2970,1
Mohammed Yousef El-Najar Hospital,Rafah,Gaza Strip,+972 8 212 4728,1
Shuhada Al-Aqsa Hospital,Deir Al-Balah,Gaza Strip,+972 8 242 0009,1
El-Wafa Rehabilitation Hospital,Shejaiya,Gaza Strip,0,0
Al-Awda Hospital,Jabaliya,Gaza Strip,0,0
Turkish-Palestinian Friendship Hospital,Gaza City,Gaza Strip,0,0
Al-Shifa Hospital,Gaza City,Gaza Strip,0,0
Nasser Hospital,Khan Younis,Gaza Strip,0,0
Kamal Adwan Hospital,Beit Lahiya,Gaza Strip,0,0
Al-Amal Hospital,Khan Younis,Gaza Strip,0,0
Al-Dorra Hospital,Gaza City,Gaza Strip,0,0
Indonesia Hospital,Sheikh Za’id near Jabaliya,Gaza Strip,0,0
Beit Hanoun Hospital,Beit Hanoun,Gaza Strip,0,0
Al-Quds Hospital,Gaza City,Gaza Strip,0,0
Al-Mahdi Hospital,Gaza City,Gaza Strip,0,0
Al-Rantisi Hospital,Gaza City,Gaza Strip,0,0
Dar-Essalaam Hospital,Khan Younis,Gaza Strip,0,0
St John of Jerusalem Eye Hospital,Gaza,Gaza Strip,0,0
